,class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,z-nuv_mag
4862,2,0.9321417884522799,0.9893118795010487,0.8148608359876783,0.8794291782291651,0.9167931187190145,0.87084311485686,0.8299368556255743,0.8544376879414541,0.27658752035593936,0.2321163008828442,0.3264337325384822,0.3830262617730753,0.41487741388935223,0.3341830167959895,0.5867301365765025,0.6218828798893977,0.5414168138730465,0.6994801076711994,0.6875866336976277,0.634901586186578,0.6249490270283541,0.5415637042553313,0.45908424807620124
5985,0,0.9914396362744098,0.5374703700190834,0.7997574071512377,0.810570159012279,0.8622535027951139,0.8584123042124743,0.8196789715817071,0.8824739480653966,0.31858483178661784,0.3086136327316572,0.32056829538091985,0.3567810079340609,0.29903564786825276,0.2114834954845025,0.21578056165600473,0.3124739983279318,0.2624613020183395,0.32401621136647085,0.361285430476934,0.38000763528728015,0.6068729633634519,0.3935662274633449,0.3916940702833908
849,0,0.9225164264834828,0.6056791352935926,0.8107714531230423,0.8453306979947143,0.9403869026627729,0.8284355109481139,0.894670784342506,0.8354293660380329,0.44014301268670664,0.20867620382890847,0.5126361260496992,0.3380686835476738,0.5243034959552453,0.1044572332005901,0.5110542775989202,0.37756661587517054,0.6232213715821624,0.7756888376066842,0.588309091836501,0.7009250220188977,0.3958125386128541,0.46303476088173795,0.6475041250505545
7583,0,0.9388346973830907,0.31833538897224123,0.5773928730430831,0.6620200118409525,0.7142970915425763,0.7259302194618242,0.7343041186077208,0.6261533354048697,0.07876548460813523,0.023519643749362936,0.028236164391887395,0.035829049264697085,0.4713700229468031,0.0,0.006075546979770148,0.037033401174874435,0.7252655771586027,0.032398858879343996,0.0672920990132329,0.8802230774230015,0.28643985783004833,0.8969764009400018,0.8941682862712267
2986,1,0.9539013823259007,0.5417442412869936,0.7197801531629451,0.7307952604033017,0.7928086700856501,0.7684987621030087,0.7297512588146909,0.7879302891627079,0.45917177492766675,0.26152938801724135,0.3028098363320829,0.4234357099833894,0.37405639244250527,0.13966028662060379,0.31672162561319206,0.44498039435842046,0.44664510948741654,0.6202406876155493,0.6419569906904232,0.5095109220519198,0.62766898520727,0.47108213135086474,0.4060491339013235
1340,1,0.8932863298660695,0.9699511102880786,0.6688853903515648,0.6679876642815107,0.7211168685784509,0.6221318411741908,0.6647789300385228,0.7563870829020578,0.47979391377594405,0.3025848917342689,0.5858232891858856,0.44298005613122254,0.34684820213216117,0.1549104939457054,0.5541312166006565,0.43963714721573915,0.3656039138624586,0.8021245360158394,0.6328786624785103,0.3884741232031721,0.40436398629578185,0.24549346132825775,0.341919203617047
6866,1,0.9478668982408514,0.6229345947492163,0.7980844295224375,0.9091420885740031,0.9086709681396187,0.9587387727066087,0.8825188501569246,0.8407172146046558,0.13730356441894953,0.22422937448196145,0.11511316244080093,0.25037866955007887,0.4351782563533842,0.48480663405706176,0.1331901504350882,0.3811934100584826,0.645830209004841,0.0,0.31068991271884006,0.6477187508639494,0.8844149827940001,0.7828149167780216,0.6693285048562928
5973,1,0.9485769620197536,0.3353403088512839,0.7171379968752077,0.7607776293874524,0.789162921406428,0.7730147356975781,0.7298986982663485,0.7838083469268122,0.19969525070763275,0.24449177564323685,0.28806151389404416,0.34252235222307054,0.332648834021294,0.33287535768050325,0.35315789150315907,0.42455190929957365,0.41871633405563546,0.3990115534890334,0.43606181365195906,0.5005317871750085,0.6564196459241691,0.4727951334173732,0.44537096096746304
6405,1,0.8568060773995728,0.4668514497677621,0.8894241386225044,0.9285750292171485,0.9189571248665724,0.8697327857368643,0.8114994457420502,0.9209485905483056,0.3699472717797199,0.49371115686928896,0.594876324462976,0.6487798547650342,0.47721824512119265,0.7109380734304686,0.7451589149261555,0.7339675266689515,0.45072768836575566,0.6183721860239214,0.6367207424124603,0.4120192823188987,0.7845398391474087,0.3053770226579764,0.26275690188428363
80,0,0.9061320149887471,0.920592015083159,0.7373967719713213,0.7800245577159001,0.8705830606490935,0.7704168895882623,0.8280491316945778,0.7997844334902908,0.410222319307901,0.16135632657406615,0.4789126013407188,0.30031686739592167,0.35743250229105566,0.0942109671027145,0.5003281252359206,0.37035056455034954,0.42258962511003845,0.7672798808950732,0.5872252920699798,0.5068921529750912,0.40157026147437114,0.3615447964134256,0.5044142643587155
7949,1,0.863084504528733,0.703396581535607,0.7310447789571187,0.7884752184983108,0.7942977290326494,0.7764426748443211,0.7592431039334294,0.8165472881698449,0.2672651234902902,0.35132961917976885,0.3845636386004236,0.41953123383528756,0.3774982899024554,0.42982984645686195,0.4489718448044796,0.49864114832969053,0.4817316219393379,0.4287503016470023,0.5155004448257318,0.48601193033171447,0.4794333287146664,0.4551543454759714,0.4266805253976801
5284,1,0.9952721273302877,0.7400957887113927,0.8663125867887401,0.938367198456306,0.9258120178733142,0.8794712472393522,0.8320453064638621,0.8468345204970961,0.17580303182361456,0.354468630669854,0.4387920174512766,0.49709316524274116,0.5767607429370228,0.6837608404849473,0.767487348202031,0.7508774258765452,0.7205094187517272,0.7006443631681005,0.7036909095628713,0.6853524988713351,0.6402708867996738,0.5862709200251192,0.482459289984729
338,0,0.9060128256769238,0.697475690867655,0.7602777148618151,0.8012757037254905,0.8958710130261304,0.7918538178222616,0.8605866939976325,0.8291744681902306,0.4177274883490782,0.1685012838200859,0.4844057155388828,0.29156408759281804,0.3429480579479867,0.09119728174051654,0.5000146023360472,0.354726836430895,0.3947611517933599,0.769174040413885,0.5669468307907932,0.48147275302208303,0.38698508530515274,0.3442643203545589,0.5001626812552066
2959,1,0.9463025548633502,0.49028750571333124,0.934954566641316,0.9420216727159291,0.9381656829828838,0.8871231387144878,0.8443542294726987,0.8541522205433161,0.5020374659175508,0.5214069303386673,0.5954562460960766,0.6712908751983061,0.7706634629000519,0.38100747115236205,0.5543409470900728,0.636217179515764,0.8280465345028835,0.7186443399872705,0.7025938461800952,0.6849033096500854,0.6282442463683592,0.5727868502928702,0.49314359154754006
1778,2,0.890426993549994,0.8193461765535648,0.7436652232847815,0.8070278860004569,0.908220263742675,0.8911521819102826,0.8657415209121428,0.8228428154604883,0.3735655623809967,0.10236150436415606,0.19209432032239251,0.24851254773772719,0.3789553629743907,0.0804503233448813,0.24199931093897098,0.35619684845408767,0.553665918113738,0.5870574949861931,0.5791724278326835,0.7029064717316074,0.5853356584585769,0.6720325425180924,0.616765174595505
3044,1,0.9697461531134338,0.5160621585621991,0.7954443228734857,0.7841515469860422,0.8101442583501777,0.7779407606756844,0.735798965110955,0.8648510943851573,0.5147265064158423,0.4265692499990326,0.4717321811558469,0.5717876437430334,0.3792796718802392,0.250352787040586,0.41799544621213675,0.5314768512595378,0.37557796551815237,0.6503758965978613,0.6679742041264196,0.3189221678056686,0.635258136134308,0.2746567094975234,0.2301088796529343
4460,1,0.8667503446751224,0.5938037964180894,0.6819957281478406,0.7171989807066469,0.7472613981506239,0.7293113420231092,0.6959835103471911,0.766058825795451,0.3050195505179459,0.2476031941624084,0.2856775001299644,0.3978493749214127,0.2911751201141212,0.29653144346685234,0.47988502980772246,0.5470137407642964,0.38274694548111077,0.5968302602092317,0.6173920291550625,0.46745324008658234,0.6174401126837082,0.450324378036322,0.38618738861575425
4771,1,0.8459971887962169,0.7521711152989932,0.7100271334486242,0.7409904392240693,0.7667584197669649,0.7415229008044861,0.7051649350978445,0.7963977615677258,0.3239982374409874,0.2812102620747771,0.3311839227952249,0.3865096581757838,0.28811171434026406,0.33560458649170904,0.5238970843814832,0.5808708824810855,0.358901589952891,0.6245320392190236,0.6408083287113846,0.424352727678274,0.6239187563061326,0.3919870916652179,0.33161383041517983
